model_id,kegg.module,module_name
MAR04196,M00044,"Tyrosine degradation, tyrosine => homogentisate"
MAR04197,,
MAR04287,,
MAR04690,,
MAR04693,M00970,"Proline degradation, proline => glutamate"
MAR06780,M00972,Proline metabolism
MAR07642,M00029,Urea cycle
MAR07642,M00844,"Arginine biosynthesis, ornithine => arginine"
MAR07642,M00978,Ornithine-ammonia cycle
MAR08626,M00029,Urea cycle
MAR08626,M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine"
MAR08628,M00015,"Proline biosynthesis, glutamate => proline"
MAR08628,M00970,"Proline degradation, proline => glutamate"
MAR08628,M00972,Proline metabolism
MAR03806,M00015,"Proline biosynthesis, glutamate => proline"
MAR03806,M00970,"Proline degradation, proline => glutamate"
MAR03806,M00972,Proline metabolism
MAR03807,,
MAR03809,M00015,"Proline biosynthesis, glutamate => proline"
MAR03809,M00972,Proline metabolism
MAR03816,M00972,Proline metabolism
MAR03819,M00972,Proline metabolism
MAR03820,M00015,"Proline biosynthesis, glutamate => proline"
MAR03832,M00015,"Proline biosynthesis, glutamate => proline"
MAR03833,,
MAR03835,,
MAR03837,M00034,Methionine salvage pathway
MAR03837,M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
MAR03895,M00034,Methionine salvage pathway
MAR03895,M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
MAR03897,,
MAR03956,,
MAR03993,M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
MAR04073,M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine"
MAR04075,M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine"
MAR04077,,
MAR04190,M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
MAR04191,M00047,Creatine pathway
MAR04212,,
MAR04422,,
MAR04423,,
MAR04424,,
MAR04583,,
MAR04605,,
MAR04606,,
MAR04607,,
MAR04776,,
MAR04777,,
MAR04778,,
MAR04779,,
MAR04780,,
MAR04781,M00034,Methionine salvage pathway
MAR04784,,
MAR04785,,
MAR04786,,
MAR04787,,
MAR05384,,
MAR06955,,
MAR06958,M00028,"Ornithine biosynthesis, glutamate => ornithine"
MAR06958,M00845,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
MAR06961,M00028,"Ornithine biosynthesis, glutamate => ornithine"
MAR06965,M00029,Urea cycle
MAR06965,M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine"
MAR08096,M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA"
MAR08097,M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA"
MAR08098,M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA"
MAR08416,,
MAR08425,,
MAR08426,M00015,"Proline biosynthesis, glutamate => proline"
MAR08426,M00972,Proline metabolism
MAR08603,,
MAR08604,,
MAR08605,M00027,GABA (gamma-Aminobutyrate) shunt
MAR08606,M00532,Photorespiration
MAR08608,M00532,Photorespiration
MAR08609,M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA"
MAR08610,,
MAR08611,M00020,"Serine biosynthesis, glycerate-3P => serine"
MAR04285,M00020,"Serine biosynthesis, glycerate-3P => serine"
MAR00457,M00020,"Serine biosynthesis, glycerate-3P => serine"
MAR00460,M00140,"C1-unit interconversion, prokaryotes"
MAR00460,M00141,"C1-unit interconversion, eukaryotes"
MAR00460,M00346,"Formaldehyde assimilation, serine pathway"
MAR00460,M00532,Photorespiration
MAR00460,M00975,"Betaine degradation, bacteria, betaine => pyruvate"
MAR03752,,
MAR03770,,
MAR03784,,
MAR03839,,
MAR03841,M00975,"Betaine degradation, bacteria, betaine => pyruvate"
MAR03843,M00035,Methionine degradation
MAR03845,,
MAR03847,,
MAR03852,,
MAR03856,,
